id,conversation_type,prompt,answer,source,word_count
math_001,math,"Alberto spent $2457 on a new engine for his car. Samara spent $25 on oil, $467 on tires and $79 on detailing for her car. How many more dollars did Alberto spend on his car?",1886,gsm8k,35
math_002,math,"John decides to replace all his VHS with DVDs. He can trade in his VHS for $2 each and then buy the DVDs for $10 each. If he has 100 movies, how much does it cost to replace his movies?",800,gsm8k,40
math_003,math,A machine fills 150 cans of paint every 8 minutes. How many minutes does it take this machine to fill 675 cans?,36,gsm8k,22
math_004,math,"In a shopping mall, one T-shirt costs $20 each; a pair of pants costs $80; a pair of shoes costs $150. All items will get a 10% discount. How much does Eugene have to pay if he buys four T-shirts, three pairs of pants, and two pairs of shoes?",558,gsm8k,49
math_005,math,"Kyle bakes 60 cookies and 32 brownies. Kyle eats 2 cookies and 2 brownies. Kyle's mom eats 1 cookie and 2 brownies. If Kyle sells a cookie for $1 and a brownie for $1.50, how much money will Kyle make if he sells all of his baked goods?",99,gsm8k,48
math_006,math,"Shara borrowed money from her brother 6 months ago. She returned $10 per month to her brother. Currently, she was able to return half of the money she borrowed. How much will she still owe her brother 4 months from now?",20,gsm8k,41
math_007,math,Gerald is a furniture maker. He has 672 pieces of wood and he wants to make some tables and chairs. It takes 12 pieces of wood to make a table and 8 pieces of wood to make a chair. How many chairs can he make if he makes 24 tables?,48,gsm8k,50
math_008,math,"When Hannah was 6 years old, her age was double the age of her sister July. Now, 20 years later, if July's husband is 2 years older than her, how old is he?",25,gsm8k,33
math_009,math,"For Roger's phone to function optimally, he can have a maximum of 50 apps on his phone. However, the recommended number of apps is 35. If Roger has twice the recommended number of apps, how many apps must he delete for his phone to function optimally again?",20,gsm8k,47
math_010,math,The electricity price in Coco's town is $0.10 per kW. Coco's new oven has a consumption rate of 2.4 kWh (kilowatt-hours). How much will Coco pay for using his oven only if he used it for a total of 25 hours last month?,6,gsm8k,43
math_011,math,Jerusha earned 4 times as much money as Lottie. Together they earned $85. How many dollars did Jerusha earn? Use L to represent Lottie's earnings.,68,gsm8k,25
math_012,math,"Jerry can run from his house to his school and back in the time it takes his brother Carson to run to the school. If it takes Jerry 15 minutes to make a one-way trip from his house to his school and the school is 4 miles away, how fast does Carson run in miles per hour?",8,gsm8k,57
math_013,math,"Iain has 200 pennies. He realizes that 30 of his pennies are older than he is. If he wishes to get rid of these pennies and then throw out 20% of his remaining pennies, how many will he have left?",136,gsm8k,40
math_014,math,A 220-liter barrel has a small leak. It lost 10% of its contents before anyone noticed. How many liters are left in the barrel?,198,gsm8k,24
math_015,math,"Frank goes to the store to buy some food. He buys 5 chocolate bars and 2 bags of chips. He hands the cashier $20 and gets $4 back as change. If the chocolate bars each cost $2, how much did each bag of chips cost?",3,gsm8k,45
math_016,math,"Stan makes a playlist for the next time he goes running. He has 10 3-minute songs and 15 2-minute songs on his playlist. His entire run takes 100 minutes. If Stan wants a playlist to cover his entire run, how many more minutes of songs will he need in his playlist?",40,gsm8k,51
math_017,math,"Jace drives 60 miles per hour. If Jace drives for 4 hours straight, take a 30-minute break, and then drives for another 9 hours straight, how many miles will he travel?",780,gsm8k,31
math_018,math,Jerry takes 2 antacids that weigh 2 grams each and are 5% zinc by weight. Then he takes three more smaller antacids that weigh 1 gram each and have 15% zinc. How many milligrams of zinc does he eat?,650,gsm8k,39
math_019,math,"Belinda’s dog is missing, so she made 200 flyers to distribute around town with the help of her friends. Ryan passed out 42 flyers, Alyssa passed out 67, Scott passed out 51 and Belinda passed out the rest. What percentage of the flyers did Belinda pass out?",20,gsm8k,47
math_020,math,"The pizza delivery person has 12 pizzas to deliver. If two of the stops are for orders of two pizzas and the rest are for single pizzas, how many minutes per stop does the delivery person need to average to deliver all of the pizzas in 40 minutes?",4,gsm8k,48
math_021,math,"Barry has $10.00 worth of dimes. His little brother, Dan has half that amount but finds 2 more dimes on his way home from school. How many dimes does Dan have?",52,gsm8k,31
math_022,math,"Harris feeds his dog 1 large organic carrot over the course of 1 day. There are 5 carrots in a 1 pound bag and each bag costs $2.00. In one year, how much will Harris spend on carrots?",146,gsm8k,38
math_023,math,Shaniqua styles hair. For every haircut she makes $12 and for every style she makes $25. How many dollars would Shaniqua make if she gave 8 haircuts and 5 styles?,221,gsm8k,30
math_024,math,"There are 26 chickens, 40 piglets, and 34 goats at Stacy’s farm. A really bad storm hits and half of all the animals get sick. How many animals in total get sick?",50,gsm8k,32
math_025,math,"Charlie owns one flute, two horns, and a harp. Carli owns twice as many flutes as Charlie, half as many horns as Charlie, but no harps. What is the combined total number of musical instruments owned by Charlie and Carli?",7,gsm8k,40
math_026,math,"Sam bought a dozen boxes, each with 30 highlighter pens inside, for $10 each box. He rearranged five of these boxes into packages of six highlighters each and sold them for $3 per package. He sold the rest of the highlighters separately at the rate of three pens for $2. How much profit did he make in total, in dollars?",115,gsm8k,60
math_027,math,Juanita goes through 1 bottle of sunscreen a month. She likes to stock up for the entire year when a certain website offers 30% off her entire purchase. If each bottle is $30.00 how much will all of the sunscreen cost after the discount?,252,gsm8k,44
math_028,math,"Mary had 6 lambs and 2 of the lambs had 2 babies each. She traded 3 lambs for one goat. One morning, she woke up and found an extra 7 lambs in the field. How many lambs does Mary have?",14,gsm8k,40
math_029,math,"Last week, Tony went to a toy store and bought $250 a set of Lego blocks, a $120 worth toy sword, and a $35 play dough. He bought 3 sets of lego, 7 toy swords, and 10 play doughs. How much did Tony pay in total?",1940,gsm8k,46
math_030,math,"If eight movie tickets cost 2 times as much as one football game ticket, and each movie ticket is sold at $30, calculate the total amount of money Chandler will pay if he buys eight movie tickets and five football game tickets.",840,gsm8k,42
math_031,math,"Eastern rattlesnakes have 6 segments in their tails, while Western rattlesnakes have 8 segments. What is the percentage difference in their tail size, expressed as a percentage of the Western rattlesnake's tail size?",25,gsm8k,33
math_032,math,Davante has twice as many friends as there are days in the week. 3 of his friends are girls. How many friends does he have that are boys?,11,gsm8k,28
math_033,math,Two tribes of soldiers gathered for a battle. The number of women was double the number of cannoneers. There were 63 cannoneers. None of the cannoneers were women. The total number of men is twice the number of women. How many people in total are there?,378,gsm8k,46
math_034,math,"A boat carrying 20 sheep, 10 cows and 14 dogs capsized. 3 of the sheep drowned. Twice as many cows drowned as did sheep. All of the dogs made it to shore. How many total animals made it to the shore?",35,gsm8k,41
math_035,math,"Marcy uses 6 ounces of pet cleaner to clean up a dog stain, 4 ounces to clean up a cat stain, and 1 ounce to clean up a rabbit stain. How much cleaner does she need to clean up after 6 dogs, 3 cats and 1 rabbit?",49,gsm8k,47
math_036,math,Bobby can deadlift 300 pounds at 13. When he is 18 he can deadlift 100 pounds more than 250% of his previous deadlift. How many pounds did he add per year?,110,gsm8k,31
math_037,math,On Monday Elisa paints 30 square feet of her house's walls. On Tuesday she paints twice that amount. On Wednesday she finishes up by painting half as many square feet as she painted on Monday. How many square feet total does Elisa paint in her house?,105,gsm8k,46
math_038,math,"It takes 10 minutes to wash a car, 15 minutes to change oil, and 30 minutes to change a set of tires. If mike washes 9 cars, changes the oil on 6 cars, and changes two sets of tires how many hours did he work?",4,gsm8k,45
math_039,math,"Penelope has 5 M&M candies for every 3 Starbursts candies. If she has 25 M&M candies, how many Starbursts candies does she have?",15,gsm8k,23
math_040,math,James has 28 marbles. He puts them into 4 bags. He puts the same number in each bag. He then gives one bag away. How many marbles does James have left?,21,gsm8k,31
math_041,math,Sherry is making banana bread for a bake sale. She wants to make 99 loaves. Her recipe makes enough batter for 3 loaves. The recipe calls for 1 banana. How many bananas does Sherry need?,33,gsm8k,35
math_042,math,"Theon's ship can move 15 nautical miles per hour while Yara's ship can move 30 nautical miles per hour. If their destination is 90 nautical miles away, how many hours ahead will Yara be ahead of Theon?",3,gsm8k,37
math_043,math,Phoebe eats 1 serving and gives her dog 1 serving of peanut butter for a bedtime snack. Each jar of peanut butter has 15 servings. How many jars will she need to make sure she and her dog have enough to last for 30 days?,4,gsm8k,45
math_044,math,Jerome has 20 classmates on his cell phone contact list. He has half as many out of school friends as classmates on his contact list. He also has his two parents and his sister on his contact list. How many people are on Jerome's contact list?,33,gsm8k,46
math_045,math,"Sarah uses 1 ounce of shampoo, and one half as much conditioner as shampoo daily. In two weeks, what is the total volume of shampoo and conditioner, in ounces, that Sarah will use?",21,gsm8k,33
math_046,math,"Carla had 400 chickens on her chicken farm. However, 40% of the chicken died due to a certain disease. How many chickens were there if she bought ten times as many chickens as the number that died due to disease?",1840,gsm8k,40
math_047,math,"Legacy has 5 bars of gold she received from her father. Her friend Aleena has 2 bars fewer than she has. If a bar of gold is worth $2200, calculate the total value of gold the three have together.",17600,gsm8k,39
math_048,math,"The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get?",2,gsm8k,35
math_049,math,"Tom is binge-watching a show on Netflix. The show has 90 episodes, each one of which is 20 minutes long because there are no commercials. If Tom can spend two hours a day watching the show, how many days will it take him to finish watching the show?",15,gsm8k,48
math_050,math,Suzie and 5 of her friends decide to rent an Airbnb at Lake Tahoe for 4 days from Thursday to Sunday. The rental rate for weekdays is $420 per day. The weekend rental rate is $540 per day. They all decide to split the rental evenly. How much does each person have to pay?,320,gsm8k,54
